date;bidopen;bidclose;bidhigh;bidlow;askopen;askclose;askhigh;asklow;tickqty
2023-04-13 11:31:00;44827;44810;44827;44806;44929;44912;44929;44908;26
2023-04-13 11:32:00;44809;44806;44812;44804;44911;44907;44914;44906;33
2023-04-13 11:33:00;44806;44806;44808;44798;44908;44907;44915;44905;16
2023-04-13 11:34:00;44813;44825;44827;44810;44914;44927;44930;44912;39
2023-04-13 11:35:00;44827;44828;44833;44824;44929;44930;44935;44926;26
2023-04-13 11:36:00;44829;44795;44830;44795;44931;44910;44932;44910;33
2023-04-13 11:37:00;44792;44779;44792;44768;44910;44887;44910;44883;57
2023-04-13 11:38:00;44781;44793;44798;44781;44888;44894;44911;44888;30
2023-04-13 11:39:00;44791;44780;44791;44779;44893;44882;44900;44881;35
2023-04-13 11:40:00;44782;44814;44820;44778;44885;44917;44923;44885;31
2023-04-13 11:41:00;44812;44834;44838;44812;44915;44936;44941;44915;32
2023-04-13 11:42:00;44833;44828;44836;44823;44935;44937;44945;44925;33
2023-04-13 11:43:00;44830;44839;44839;44827;44938;44951;44951;44938;31
2023-04-13 11:44:00;44840;44846;44848;44838;44952;44954;44960;44947;40
2023-04-13 11:45:00;44846;44833;44854;44827;44953;44936;44964;44929;39
2023-04-13 11:46:00;44832;44796;44833;44791;44935;44899;44935;44893;49
2023-04-13 11:47:00;44795;44789;44795;44779;44898;44892;44898;44883;41
2023-04-13 11:48:00;44790;44796;44801;44789;44892;44898;44903;44892;38
2023-04-13 11:49:00;44789;44781;44807;44776;44891;44883;44909;44878;31
2023-04-13 11:50:00;44782;44771;44799;44768;44884;44873;44901;44870;52
2023-04-13 11:51:00;44773;44761;44778;44760;44875;44862;44880;44862;44
2023-04-13 11:52:00;44760;44777;44780;44759;44862;44879;44882;44860;51
2023-04-13 11:53:00;44776;44781;44783;44776;44878;44883;44885;44878;32
2023-04-13 11:54:00;44785;44767;44785;44766;44886;44869;44886;44868;42
2023-04-13 11:55:00;44768;44782;44795;44768;44870;44884;44897;44870;47
2023-04-13 11:56:00;44785;44769;44787;44766;44887;44871;44889;44868;42
2023-04-13 11:57:00;44768;44768;44774;44765;44870;44870;44876;44867;35
2023-04-13 11:58:00;44767;44755;44769;44755;44869;44857;44871;44857;43
2023-04-13 11:59:00;44756;44766;44772;44752;44859;44868;44874;44855;36
2023-04-13 12:00:00;44765;44786;44787;44762;44868;44888;44889;44865;57
2023-04-13 12:01:00;44785;44782;44803;44782;44887;44883;44908;44883;41
2023-04-13 12:02:00;44782;44784;44786;44781;44884;44887;44888;44883;30
2023-04-13 12:03:00;44785;44780;44785;44775;44887;44882;44889;44877;21
2023-04-13 12:04:00;44784;44775;44792;44774;44886;44877;44894;44876;41
2023-04-13 12:05:00;44776;44768;44776;44763;44878;44870;44878;44866;33
2023-04-13 12:06:00;44769;44756;44773;44753;44871;44858;44875;44856;42
2023-04-13 12:07:00;44755;44762;44763;44742;44857;44864;44868;44845;37
2023-04-13 12:08:00;44764;44784;44785;44764;44866;44887;44888;44866;33
2023-04-13 12:09:00;44782;44782;44782;44770;44885;44885;44885;44872;48
2023-04-13 12:10:00;44783;44790;44790;44775;44885;44892;44892;44877;36
2023-04-13 12:11:00;44791;44792;44798;44787;44893;44894;44900;44889;35
2023-04-13 12:12:00;44791;44798;44801;44785;44893;44901;44903;44887;29
2023-04-13 12:13:00;44797;44816;44816;44797;44899;44918;44919;44899;36
2023-04-13 12:14:00;44818;44794;44821;44790;44921;44897;44924;44893;53
2023-04-13 12:15:00;44797;44814;44814;44794;44899;44917;44917;44896;41
2023-04-13 12:16:00;44815;44821;44824;44811;44917;44923;44926;44913;47
2023-04-13 12:17:00;44820;44850;44850;44817;44923;44953;44953;44920;45
2023-04-13 12:18:00;44852;44810;44867;44800;44955;44913;44970;44903;63
2023-04-13 12:19:00;44808;44808;44832;44808;44911;44911;44935;44910;44
2023-04-13 12:20:00;44809;44811;44812;44800;44912;44914;44914;44903;47
2023-04-13 12:21:00;44811;44823;44870;44809;44913;44925;44972;44912;72
2023-04-13 12:22:00;44820;44812;44834;44805;44923;44915;44937;44908;49
2023-04-13 12:23:00;44810;44804;44822;44800;44913;44907;44925;44902;46
2023-04-13 12:24:00;44806;44781;44817;44777;44909;44883;44919;44879;58
2023-04-13 12:25:00;44782;44798;44802;44780;44884;44901;44904;44882;56
2023-04-13 12:26:00;44799;44793;44806;44787;44901;44896;44909;44890;53
2023-04-13 12:27:00;44793;44791;44802;44787;44895;44893;44905;44890;44
2023-04-13 12:28:00;44790;44785;44793;44779;44892;44888;44896;44887;41
2023-04-13 12:29:00;44784;44784;44787;44766;44886;44887;44890;44868;60
2023-04-13 12:30:00;44783;44765;44834;44743;44886;44867;44937;44846;125
2023-04-13 12:31:00;44762;44739;44771;44737;44864;44842;44874;44840;106
2023-04-13 12:32:00;44742;44720;44781;44710;44845;44823;44884;44813;109
2023-04-13 12:33:00;44719;44724;44730;44683;44822;44827;44833;44785;106
2023-04-13 12:34:00;44725;44757;44765;44706;44827;44860;44867;44808;101
2023-04-13 12:35:00;44758;44762;44762;44735;44861;44864;44864;44838;70
2023-04-13 12:36:00;44763;44806;44818;44755;44866;44909;44920;44858;88
2023-04-13 12:37:00;44804;44777;44820;44777;44906;44880;44922;44880;88
2023-04-13 12:38:00;44775;44803;44815;44773;44877;44906;44917;44875;80
2023-04-13 12:39:00;44801;44786;44819;44786;44904;44889;44922;44888;74
2023-04-13 12:40:00;44791;44820;44844;44787;44893;44923;44947;44889;82
2023-04-13 12:41:00;44824;44787;44824;44762;44927;44915;44927;44895;82
2023-04-13 12:42:00;44782;44778;44790;44764;44910;44898;44916;44885;88
2023-04-13 12:43:00;44779;44777;44790;44763;44899;44879;44899;44875;96
2023-04-13 12:44:00;44776;44777;44784;44762;44878;44879;44887;44864;77
2023-04-13 12:45:00;44770;44788;44804;44760;44873;44891;44906;44862;98
2023-04-13 12:46:00;44787;44794;44798;44763;44890;44897;44901;44866;89
2023-04-13 12:47:00;44796;44763;44810;44763;44898;44866;44912;44866;89
2023-04-13 12:48:00;44765;44768;44768;44741;44867;44871;44871;44843;84
2023-04-13 12:49:00;44768;44758;44770;44744;44870;44861;44873;44847;74
2023-04-13 12:50:00;44759;44748;44771;44743;44861;44851;44876;44845;81
2023-04-13 12:51:00;44749;44755;44758;44746;44851;44858;44861;44849;66
2023-04-13 12:52:00;44757;44726;44757;44725;44859;44828;44859;44828;88
2023-04-13 12:53:00;44725;44712;44729;44706;44828;44815;44832;44809;79
2023-04-13 12:54:00;44713;44747;44747;44706;44815;44853;44853;44808;81
2023-04-13 12:55:00;44748;44774;44790;44737;44853;44880;44899;44845;82
2023-04-13 12:56:00;44779;44800;44800;44768;44885;44906;44906;44871;106
2023-04-13 12:57:00;44803;44817;44840;44803;44908;44920;44943;44908;77
2023-04-13 12:58:00;44816;44811;44823;44799;44919;44914;44925;44902;73
2023-04-13 12:59:00;44811;44806;44827;44799;44913;44909;44929;44902;73
2023-04-13 13:00:00;44805;44808;44811;44796;44908;44910;44914;44898;75
2023-04-13 13:01:00;44808;44797;44830;44794;44911;44900;44933;44897;59
2023-04-13 13:02:00;44796;44840;44840;44783;44899;44943;44943;44886;88
2023-04-13 13:03:00;44839;44830;44856;44821;44942;44932;44958;44930;92
2023-04-13 13:04:00;44831;44805;44833;44805;44934;44908;44936;44908;68
2023-04-13 13:05:00;44804;44801;44817;44787;44906;44904;44920;44890;71
2023-04-13 13:06:00;44803;44816;44822;44795;44906;44919;44925;44897;65
2023-04-13 13:07:00;44817;44862;44863;44815;44920;44965;44966;44918;57
2023-04-13 13:08:00;44863;44854;44863;44850;44966;44956;44966;44952;46
