date;bidopen;bidclose;bidhigh;bidlow;askopen;askclose;askhigh;asklow;tickqty
2023-04-13 12:00:00;2945.0;2946.9;2947.5;2944.8;2956.1;2957.9;2958.6;2955.9;54
2023-04-13 12:01:00;2946.8;2947.0;2947.5;2946.8;2957.9;2958.0;2958.6;2957.9;31
2023-04-13 12:02:00;2947.1;2947.5;2948.2;2947.0;2958.0;2958.6;2959.1;2958.0;44
2023-04-13 12:03:00;2947.6;2947.3;2947.7;2946.9;2958.6;2958.3;2958.7;2957.8;23
2023-04-13 12:04:00;2947.6;2947.1;2948.4;2947.1;2958.5;2958.2;2959.4;2958.0;39
2023-04-13 12:05:00;2947.2;2947.0;2947.2;2946.4;2958.2;2957.9;2958.2;2957.4;34
2023-04-13 12:06:00;2947.0;2946.4;2947.2;2946.0;2958.0;2957.5;2958.2;2957.1;39
2023-04-13 12:07:00;2946.4;2948.0;2948.2;2945.9;2957.4;2959.0;2959.2;2957.0;34
2023-04-13 12:08:00;2948.1;2949.9;2950.2;2948.0;2959.1;2961.0;2961.3;2959.1;36
2023-04-13 12:09:00;2949.8;2949.6;2951.2;2949.0;2960.9;2960.7;2962.3;2960.1;66
2023-04-13 12:10:00;2949.7;2951.5;2951.5;2949.2;2960.7;2962.5;2962.5;2960.3;42
2023-04-13 12:11:00;2951.7;2951.9;2952.5;2951.2;2962.7;2962.9;2963.5;2962.2;50
2023-04-13 12:12:00;2951.8;2952.7;2954.9;2951.4;2962.8;2963.7;2966.0;2962.4;60
2023-04-13 12:13:00;2952.6;2953.8;2953.8;2952.3;2963.6;2964.8;2964.9;2963.4;59
2023-04-13 12:14:00;2953.9;2951.8;2955.0;2950.9;2965.0;2962.8;2966.0;2962.0;62
2023-04-13 12:15:00;2951.7;2952.9;2953.1;2951.2;2962.8;2964.0;2964.1;2962.3;45
2023-04-13 12:16:00;2952.8;2953.4;2953.4;2952.4;2963.9;2964.4;2964.4;2963.5;50
2023-04-13 12:17:00;2953.4;2955.4;2955.4;2953.0;2964.5;2966.5;2966.5;2964.1;56
