date;bidopen;bidclose;bidhigh;bidlow;askopen;askclose;askhigh;asklow;tickqty
2023-04-13 12:00:00;1802.3;1803.0;1803.4;1802.3;1808.2;1808.9;1809.2;1808.2;43
2023-04-13 12:01:00;1803.0;1803.1;1803.1;1802.8;1808.8;1808.9;1809.0;1808.7;28
2023-04-13 12:02:00;1803.2;1803.1;1803.7;1802.8;1809.0;1809.0;1809.6;1808.7;26
2023-04-13 12:03:00;1803.2;1803.1;1803.3;1803.1;1809.1;1808.9;1809.2;1808.9;25
2023-04-13 12:04:00;1803.3;1803.6;1803.9;1803.1;1809.1;1809.4;1809.7;1808.9;24
2023-04-13 12:05:00;1803.6;1803.6;1803.6;1803.4;1809.5;1809.4;1809.5;1809.2;25
2023-04-13 12:06:00;1803.6;1803.2;1803.7;1802.9;1809.5;1809.0;1809.5;1808.8;18
2023-04-13 12:07:00;1803.2;1804.6;1804.6;1803.1;1809.1;1810.5;1810.5;1809.0;26
2023-04-13 12:08:00;1804.7;1805.5;1805.7;1804.7;1810.5;1811.4;1811.6;1810.5;26
2023-04-13 12:09:00;1805.6;1805.1;1806.6;1805.0;1811.5;1811.0;1812.5;1810.9;45
2023-04-13 12:10:00;1805.2;1806.0;1806.0;1804.9;1811.1;1811.9;1811.9;1810.8;36
2023-04-13 12:11:00;1806.1;1805.9;1806.4;1805.7;1812.0;1811.8;1812.3;1811.6;39
2023-04-13 12:12:00;1805.9;1806.5;1807.7;1805.7;1811.7;1812.4;1813.6;1811.6;41
2023-04-13 12:13:00;1806.4;1806.8;1807.0;1806.1;1812.3;1812.6;1812.9;1812.0;29
2023-04-13 12:14:00;1806.8;1805.4;1807.5;1804.9;1812.7;1811.3;1813.4;1810.8;41
2023-04-13 12:15:00;1805.3;1806.0;1806.2;1805.0;1811.2;1811.9;1812.1;1810.9;30
2023-04-13 12:16:00;1805.9;1807.0;1807.0;1805.9;1811.8;1812.9;1812.9;1811.8;21
2023-04-13 12:17:00;1806.9;1808.3;1808.3;1806.8;1812.8;1814.2;1814.2;1812.7;38
2023-04-13 12:18:00;1808.4;1807.2;1809.9;1807.1;1814.3;1813.1;1815.8;1813.0;78
2023-04-13 12:19:00;1807.3;1807.6;1808.1;1807.2;1813.2;1813.5;1814.1;1813.1;37
2023-04-13 12:20:00;1807.5;1807.8;1807.9;1807.4;1813.5;1813.7;1813.8;1813.3;31
2023-04-13 12:21:00;1807.9;1811.6;1814.6;1807.5;1813.7;1817.5;1821.6;1813.4;73
2023-04-13 12:22:00;1811.7;1810.2;1811.8;1808.7;1817.6;1816.1;1817.7;1814.6;109
2023-04-13 12:23:00;1810.0;1810.3;1812.0;1810.0;1815.9;1816.2;1817.9;1815.9;78
2023-04-13 12:24:00;1810.0;1807.6;1810.2;1806.9;1815.9;1813.5;1816.1;1812.8;88
2023-04-13 12:25:00;1808.0;1809.4;1809.4;1807.4;1813.9;1815.3;1815.3;1813.4;71
2023-04-13 12:26:00;1809.5;1807.9;1809.6;1807.2;1815.4;1813.8;1815.5;1813.1;52
2023-04-13 12:27:00;1808.1;1807.3;1809.1;1807.1;1814.0;1813.2;1815.0;1813.0;46
2023-04-13 12:28:00;1807.4;1806.4;1808.1;1806.3;1813.3;1812.3;1814.1;1812.2;55
2023-04-13 12:29:00;1806.5;1806.9;1807.2;1805.8;1812.4;1812.8;1813.1;1811.7;46
2023-04-13 12:30:00;1805.7;1806.2;1811.3;1804.5;1811.6;1812.1;1817.2;1810.4;127
2023-04-13 12:31:00;1806.0;1807.1;1811.9;1805.7;1811.9;1813.1;1817.9;1811.6;111
2023-04-13 12:32:00;1807.1;1804.1;1809.5;1802.8;1813.0;1810.0;1815.4;1808.7;114
2023-04-13 12:33:00;1804.0;1806.7;1806.7;1802.7;1809.9;1812.6;1812.6;1808.6;107
2023-04-13 12:34:00;1806.6;1807.1;1807.6;1804.9;1812.6;1813.0;1813.6;1810.9;99
2023-04-13 12:35:00;1807.1;1807.4;1807.7;1806.2;1813.1;1813.3;1813.6;1812.2;71
2023-04-13 12:36:00;1807.5;1812.2;1813.4;1807.4;1813.4;1818.2;1819.4;1813.3;97
2023-04-13 12:37:00;1812.6;1810.3;1813.0;1810.0;1818.5;1816.2;1818.9;1815.9;89
2023-04-13 12:38:00;1810.2;1813.0;1814.3;1810.2;1816.1;1818.9;1820.2;1816.1;89
2023-04-13 12:39:00;1812.9;1811.8;1814.3;1811.6;1818.8;1817.8;1820.3;1817.6;104
2023-04-13 12:40:00;1812.0;1816.0;1819.3;1811.8;1817.9;1822.0;1826.2;1817.7;106
2023-04-13 12:41:00;1815.9;1812.1;1816.2;1809.3;1821.9;1820.4;1822.1;1818.0;108
2023-04-13 12:42:00;1812.1;1812.4;1813.4;1811.2;1820.3;1819.9;1821.5;1819.0;78
2023-04-13 12:43:00;1812.4;1810.7;1813.0;1810.7;1819.8;1816.6;1819.9;1816.6;79
2023-04-13 12:44:00;1810.9;1812.5;1813.0;1810.8;1816.8;1818.4;1818.9;1816.7;86
2023-04-13 12:45:00;1812.0;1814.8;1814.9;1811.6;1818.0;1820.7;1820.8;1817.6;95
2023-04-13 12:46:00;1814.8;1816.7;1817.0;1814.2;1820.8;1822.6;1822.9;1820.2;82
2023-04-13 12:47:00;1816.8;1814.5;1817.0;1814.1;1822.7;1820.4;1823.0;1820.0;99
2023-04-13 12:48:00;1814.4;1814.6;1814.8;1812.8;1820.3;1820.6;1820.7;1818.7;76
2023-04-13 12:49:00;1814.5;1814.1;1814.9;1812.5;1820.5;1820.1;1820.8;1818.4;88
2023-04-13 12:50:00;1814.3;1813.4;1814.9;1813.3;1820.2;1819.3;1820.8;1819.3;72
2023-04-13 12:51:00;1813.4;1813.2;1813.9;1813.0;1819.4;1819.1;1819.8;1818.9;42
2023-04-13 12:52:00;1813.1;1811.9;1813.1;1810.8;1819.0;1817.8;1819.0;1816.7;59
2023-04-13 12:53:00;1811.8;1811.4;1812.0;1810.9;1817.8;1817.3;1817.9;1816.8;56
2023-04-13 12:54:00;1811.3;1812.5;1813.3;1811.1;1817.2;1818.4;1819.3;1817.0;74
2023-04-13 12:55:00;1812.5;1814.7;1815.7;1811.9;1818.5;1820.6;1821.6;1817.9;90
2023-04-13 12:56:00;1814.5;1814.8;1816.9;1814.0;1820.5;1820.8;1822.8;1820.0;103
2023-04-13 12:57:00;1814.7;1813.5;1815.5;1812.7;1820.7;1819.4;1821.4;1818.6;77
2023-04-13 12:58:00;1813.4;1813.3;1813.9;1812.9;1819.3;1819.3;1819.9;1818.8;66
2023-04-13 12:59:00;1813.4;1813.3;1814.1;1812.9;1819.3;1819.3;1820.0;1818.8;61
2023-04-13 13:00:00;1813.2;1813.8;1814.1;1812.9;1819.1;1819.7;1820.1;1818.9;75
2023-04-13 13:01:00;1813.6;1812.3;1813.7;1812.1;1819.5;1818.2;1819.6;1818.0;54
2023-04-13 13:02:00;1812.5;1814.2;1814.2;1810.8;1818.4;1820.1;1820.1;1816.7;81
2023-04-13 13:03:00;1814.2;1813.9;1815.4;1813.6;1820.2;1819.9;1821.4;1819.5;67
2023-04-13 13:04:00;1814.0;1811.5;1814.0;1811.4;1819.9;1817.4;1819.9;1817.4;61
2023-04-13 13:05:00;1811.4;1808.7;1811.4;1808.5;1817.3;1814.6;1817.3;1814.4;74
2023-04-13 13:06:00;1809.0;1810.1;1810.5;1807.5;1814.9;1816.0;1816.4;1813.4;67
2023-04-13 13:07:00;1810.2;1812.9;1812.9;1810.1;1816.1;1818.8;1818.8;1816.1;59
2023-04-13 13:08:00;1813.0;1811.5;1813.0;1811.1;1818.9;1817.4;1818.9;1817.0;45
