date;bidopen;bidclose;bidhigh;bidlow;askopen;askclose;askhigh;asklow;tickqty
2023-04-13 12:00:00;1985.05;1985.35;1986.05;1985.05;1990.05;1990.35;1991.25;1990.05;33
2023-04-13 12:01:00;1985.4;1985.65;1985.65;1985.4;1990.4;1990.65;1990.65;1990.4;3
2023-04-13 12:02:00;1985.75;1985.75;1986.3;1985.55;1990.85;1990.85;1991.35;1990.55;21
2023-04-13 12:03:00;1985.85;1985.75;1985.85;1985.65;1990.85;1990.75;1990.85;1990.75;10
2023-04-13 12:04:00;1985.8;1986.45;1986.55;1985.75;1990.8;1991.45;1991.55;1990.75;16
2023-04-13 12:05:00;1986.5;1986.9;1986.9;1986.5;1991.5;1991.9;1991.95;1991.5;11
2023-04-13 12:06:00;1986.95;1986.65;1986.95;1986.25;1992.05;1991.65;1992.05;1991.35;13
2023-04-13 12:07:00;1986.7;1988.2;1988.25;1986.65;1991.7;1993.2;1993.35;1991.65;26
2023-04-13 12:08:00;1988.25;1989.25;1989.45;1988.25;1993.25;1994.25;1994.65;1993.25;22
2023-04-13 12:09:00;1989.2;1988.95;1990.65;1988.95;1994.2;1993.95;1995.75;1993.95;48
2023-04-13 12:10:00;1989.0;1989.9;1990.05;1988.7;1994.0;1994.9;1995.15;1993.7;31
2023-04-13 12:11:00;1990.05;1990.05;1990.35;1989.85;1995.25;1995.05;1995.45;1994.85;26
2023-04-13 12:12:00;1990.15;1990.75;1992.25;1990.0;1995.25;1995.75;1997.45;1995.0;48
2023-04-13 12:13:00;1990.7;1990.9;1991.3;1990.05;1995.7;1995.9;1996.3;1995.05;39
2023-04-13 12:14:00;1991.05;1989.4;1991.75;1988.65;1996.25;1994.4;1996.85;1993.65;51
2023-04-13 12:15:00;1989.45;1990.25;1990.4;1989.15;1994.65;1995.25;1995.55;1994.15;22
2023-04-13 12:16:00;1990.25;1991.3;1991.3;1990.15;1995.35;1996.3;1996.45;1995.15;26
2023-04-13 12:17:00;1991.25;1992.9;1992.95;1991.25;1996.25;1997.9;1998.15;1996.25;39
2023-04-13 12:18:00;1992.95;1991.75;1994.5;1991.6;1997.95;1996.75;1999.65;1996.6;94
2023-04-13 12:19:00;1991.8;1991.95;1992.85;1991.75;1996.8;1996.95;1998.05;1996.75;40
2023-04-13 12:20:00;1991.9;1992.5;1992.75;1991.9;1996.9;1997.5;1997.85;1996.9;14
2023-04-13 12:21:00;1992.55;1997.35;2000.45;1992.45;1997.55;2002.35;2006.65;1997.45;93
2023-04-13 12:22:00;1997.4;1995.35;1997.45;1994.35;2002.4;2000.45;2002.65;1999.35;133
